"PDF相对路径","章节目录","PDF页码","页数","证据方式","提取字符数","关联知识点","关联题目编号","关联题目数量","覆盖状态"
"第一章/1-1/2e368a9a-05c8-4d84-abb8-701e58e919aa.pdf","第一章","1","30","PDF文本层","37","附件题目 · 基础知识","101、102、103、151、152、181","6","仅关键词候选，未逐题证实"
"第一章/1-1/2e368a9a-05c8-4d84-abb8-701e58e919aa.pdf","第一章","2","30","PDF文本层","227","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-1/2e368a9a-05c8-4d84-abb8-701e58e919aa.pdf","第一章","3","30","PDF文本层","101","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-1/2e368a9a-05c8-4d84-abb8-701e58e919aa.pdf","第一章","4","30","PDF文本层","235","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-1/2e368a9a-05c8-4d84-abb8-701e58e919aa.pdf","第一章","5","30","PDF文本层","230","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-1/2e368a9a-05c8-4d84-abb8-701e58e919aa.pdf","第一章","6","30","PDF文本层","224","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-1/2e368a9a-05c8-4d84-abb8-701e58e919aa.pdf","第一章","7","30","PDF文本层","287","人工智能产业发展","104、153、182","3","仅关键词候选，未逐题证实"
"第一章/1-1/2e368a9a-05c8-4d84-abb8-701e58e919aa.pdf","第一章","8","30","PDF文本层","78","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-1/2e368a9a-05c8-4d84-abb8-701e58e919aa.pdf","第一章","9","30","PDF文本层","282","深度学习","203、243、268","3","仅关键词候选，未逐题证实"
"第一章/1-1/2e368a9a-05c8-4d84-abb8-701e58e919aa.pdf","第一章","10","30","PDF文本层","156","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-1/2e368a9a-05c8-4d84-abb8-701e58e919aa.pdf","第一章","11","30","PDF文本层","324","人工智能产业发展","104、153、182","3","仅关键词候选，未逐题证实"
"第一章/1-1/2e368a9a-05c8-4d84-abb8-701e58e919aa.pdf","第一章","12","30","PDF文本层","244","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-1/2e368a9a-05c8-4d84-abb8-701e58e919aa.pdf","第一章","13","30","PDF文本层","67","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-1/2e368a9a-05c8-4d84-abb8-701e58e919aa.pdf","第一章","14","30","PDF文本层","262","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-1/2e368a9a-05c8-4d84-abb8-701e58e919aa.pdf","第一章","15","30","PDF文本层","256","","","0","本页无已关联题目；不等于知识点已覆盖"
"第一章/1-1/2e368a9a-05c8-4d84-abb8-701e58e919aa.pdf","第一章","16","30","PDF文本层","133","","","0","本页无已关联题目；不等于知识点已覆盖"
